min_samples,eps,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
5,0.7289384811986469,4,0.8094773084323799,BERT,0.9537539931284236,0.9550803957946815,0.9539531202425943,0.954698937636102
5,0.8253187253632139,4,0.8094773084323799,BERT,0.9549299601185487,0.9568985776128633,0.9540534473974871,0.956999766135759
5,0.8366675992808438,4,0.8094773084323799,BERT,0.9510653441569786,0.9528148835291693,0.9517632354989407,0.9511542993053261
5,0.6963025126099924,8,0.7645768801214105,fasttext,0.949136360771748,0.9510059781488354,0.9511635331998318,0.9484299043571222
6,0.9222604516312712,8,0.7645768801214105,fasttext,0.9519904708221721,0.953265306122449,0.9545927198338028,0.9506782358633619
6,0.9815853861892692,8,0.7645768801214105,fasttext,0.9507190914996817,0.9519016697588125,0.952879955161986,0.9498899778334329
5,0.6377711762503446,8,0.6916633052782475,tfidf,0.9310481086466776,0.9314883529169243,0.9324947375078125,0.9310217578016159
5,0.4315436946027331,4,0.6859345982158556,tfidf,0.9673001506550062,0.96733250876108,0.9674709467659299,0.9675078472204641
5,0.4331360828135924,4,0.6859345982158556,tfidf,0.9191125813332401,0.9210564831993404,0.9257401120826874,0.9172718872937325
6,0.6233665479114116,16,0.7427743746602324,word2vec,0.9487322714076741,0.949640280354566,0.9503479599131703,0.9484175035598863
7,0.6602402465658682,16,0.7427743746602324,word2vec,0.9481885234261096,0.9496237889095032,0.9486213804986953,0.9488988623227241
8,0.6516567662852302,16,0.7427743746602324,word2vec,0.9512184012469825,0.9519047619047619,0.9518070146418923,0.951778434871095
