min_cluster_size,min_samples,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
143,77,4,0.876024274350395,BERT,0.9530348672916773,0.9546289424860854,0.9527568339883574,0.9538675860794621
137,77,4,0.876024274350395,BERT,0.9540041043850845,0.9555390641104926,0.9531352505395585,0.9557866396053025
161,77,4,0.876024274350395,BERT,0.9584336178431858,0.9591671820243249,0.9576808781046433,0.9599352721860601
113,100,8,0.7766720606197566,fasttext,0.9483642619211727,0.9491785198928057,0.9515765750957703,0.9465654150640711
48,52,16,0.7766720606197566,fasttext,0.9484055554823693,0.95008658008658,0.9509547209309291,0.9473555067683483
69,51,16,0.7766720606197566,fasttext,0.9464768231248847,0.9473665223665224,0.9493555982027575,0.9451094768318866
145,5,4,0.7326195789366184,tfidf,0.9233784796341367,0.9251360544217688,0.9253578612218103,0.9242601267953734
172,5,4,0.7326195789366184,tfidf,0.9697022875586905,0.9696031746031746,0.9703919840335837,0.9697547104454672
174,5,4,0.7326195789366184,tfidf,0.926724370912946,0.9278561121418264,0.9275320248063077,0.9276760862089224
172,89,16,0.7983986692880873,word2vec,0.9533833711627742,0.9546310039167182,0.9540520841862346,0.9533756731672189
170,89,16,0.7983986692880873,word2vec,0.9702113295082346,0.9700535971964543,0.9712549690676282,0.9698717278428118
172,89,16,0.7983986692880873,word2vec,0.929209038814497,0.9305792620078336,0.9317875032502979,0.9293180571978908
