bandwidth,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
0.8482733694764654,16,0.7336550399144287,BERT,0.9345975503961748,0.9373933209647495,0.9396392269117408,0.9338566750294858
0.8600859467018472,16,0.7336328062168522,BERT,0.9523053190134207,0.9541713048855905,0.9549852019011968,0.9515185281985292
0.859900221716815,16,0.7336328062168522,BERT,0.8320069851433723,0.8366532673675531,0.8735051262472746,0.8246943062498475
0.9019478464465586,4,0.739039626907669,fasttext,0.9416367359090587,0.9432848897134611,0.9440899745157907,0.9422152021231393
0.8989951046399494,4,0.739039626907669,fasttext,0.9071232898153205,0.9047093382807668,0.9163485913805003,0.9040214548124496
0.8945049792724682,4,0.7386666414900264,fasttext,0.9359338503653702,0.9364821686250258,0.9386359602614467,0.9347883134589366
0.9076150461794084,4,0.6525024273054015,tfidf,0.9319711152276525,0.9333055040197898,0.9339447281536202,0.9317602683378736
0.9033713702655616,4,0.6523352691647452,tfidf,0.8925438910541397,0.8951886209029066,0.8961437919346891,0.8923785619222422
0.9073317221563336,4,0.6523352691647452,tfidf,0.9359543031391964,0.936933621933622,0.9366253047557755,0.9363073006807516
0.9099407412768656,8,0.7155657758203614,word2vec,0.8726052436063447,0.8675221603793034,0.8890696673934111,0.8679579068432288
0.9099553692345586,8,0.7155657758203614,word2vec,0.9064286895697773,0.9065388579674295,0.9162781593403144,0.9036254251054172
0.8738525872023971,4,0.7149234487256432,word2vec,0.8925099053019293,0.8879313543599258,0.9074640716754813,0.8885075289768981
