min_samples,xi,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
108,0.1245530097573479,16,0.8550414433959462,BERT,0.9551524089786334,0.9568975468975468,0.9556790510968574,0.9555075800355862
108,0.1241601104791923,16,0.8550414433959462,BERT,0.9520813158191052,0.9532601525458668,0.9523076649253642,0.95278368436904
106,0.1212266250971273,16,0.8550414433959462,BERT,0.9554863588767558,0.9564471243042671,0.9552503106502754,0.9565699413705706
96,0.0882128944981811,8,0.8343837397980275,fasttext,0.9474324937624867,0.9478231292517008,0.9502100993185266,0.946465689592754
120,0.2652851153502863,2,0.776994913423117,fasttext,0.9522917513816695,0.9541723356009071,0.9530867921993501,0.9520410303968372
110,0.268949957621258,2,0.776994913423117,fasttext,0.9529612162619069,0.9541682127396414,0.9528869050021054,0.9535172768317286
161,0.0308296443450435,8,0.7795696348088885,tfidf,0.9171957812969683,0.9192372706658422,0.9177797802739496,0.917678495119104
190,0.0365891954267316,8,0.7781840568751834,tfidf,0.9308559183411405,0.9314873222016079,0.9346053837010289,0.928999164879524
189,0.0327827603205565,8,0.7755843927541556,tfidf,0.9141257386193157,0.9160688517831375,0.9140300325088104,0.9149014548740688
174,0.0268235825393531,4,0.7893599686186121,word2vec,0.9286691958420086,0.9292228406514121,0.932312737386973,0.9276585285975303
173,0.0394039865413143,4,0.7881156902065168,word2vec,0.9342031101865664,0.9360245310245311,0.93792547325457,0.932880816882087
172,0.0447027342292778,4,0.7881156902065168,word2vec,0.925354667607573,0.9260276231704803,0.9298097485630201,0.9239722947198805
