perplexity,MinPts,probability,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
23,8,0.9970678335572476,8,0.6502871924573217,BERT,0.9637631062449341,0.9640000000000001,0.9647055560106652,0.963885700347387
23,8,0.9970596408205934,8,0.6502871924573217,BERT,0.9633082455651332,0.9635,0.96415388303506,0.9635030070036669
23,5,0.9970660709228828,8,0.6502871924573216,BERT,0.9669896595350682,0.967,0.9675149440828994,0.9672110827540443
30,22,0.9970421188860268,16,0.8062932857269562,fasttext,0.974679960432373,0.9744999999999999,0.9753983504276984,0.9747723148804331
29,25,0.9970319953192632,16,0.8062932857269562,fasttext,0.9713855177921534,0.9715,0.9723240408873369,0.9713790908377884
29,25,0.997030709974364,16,0.8062932857269562,fasttext,0.9607083026363024,0.9605,0.9616735962781018,0.9606987865565657
28,7,0.9970766470769384,8,0.6793082803361686,tfidf,0.9284750651969439,0.9285,0.9294127159996164,0.9284320589273891
28,5,0.9970589457492924,8,0.6793082803361686,tfidf,0.9108189210136903,0.9099999999999999,0.914705801932597,0.9106155864058959
28,7,0.9970598615157918,8,0.6793082803361686,tfidf,0.9306776444653233,0.9309999999999998,0.9318931874594517,0.9305836803380014
27,8,0.9970229427443692,16,0.7250575945223628,word2vec,0.9266852264648421,0.9269999999999999,0.9280468694608572,0.9276750128648293
27,8,0.99702193415457,16,0.7250575945223628,word2vec,0.9472508246721117,0.9470000000000001,0.9501308432522517,0.9469851144956214
26,1,0.9970235737427734,16,0.7250575945223628,word2vec,0.9316186649296763,0.932,0.9329579002003602,0.9318502852655683
