min_cluster_size,rho,beta,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
167,1.2218182053371356,0.1523247466165017,8,0.6427499700644664,BERT,0.9568289143450386,0.9570000000000001,0.9579128744251779,0.9567106986087435
171,1.4180150675362486,0.1676198749242802,8,0.6423549021620436,BERT,0.9191096310772326,0.9195,0.9219879520405364,0.9199843235798321
168,1.3681040465657406,0.1418850709661323,16,0.6396133114691558,BERT,0.9378459090336875,0.9380000000000001,0.9390661094809845,0.9380778136468819
192,0.4975674783307419,0.3111152837215289,4,0.762948008748515,fasttext,0.9595444325324705,0.9594999999999999,0.9602844519158552,0.9598397680377573
192,0.5453323253195383,0.3330793099620526,4,0.762948008748515,fasttext,0.9598457164617658,0.96,0.9608694990625672,0.9598968231483432
193,0.79908325818701,0.2742705564457702,4,0.762948008748515,fasttext,0.9567222137643361,0.9570000000000001,0.9577920436772205,0.9564605726200032
140,0.1025433040217178,0.1007730451825646,16,0.6704374270026565,tfidf,0.9164458336766179,0.915,0.9229870623015441,0.9164519087963882
136,0.080390335476843,0.1237640475069122,16,0.6704374270026565,tfidf,0.9429997590218265,0.943,0.9447620042554046,0.9428576869225367
145,0.0543341989818843,0.1160249232148721,16,0.6704374270026565,tfidf,0.9368648355286254,0.9365,0.9394367584793735,0.9366663369176633
162,0.0599338844206795,0.2968253594000508,16,0.7025006967802675,word2vec,0.9456097451023677,0.946,0.9462389994430378,0.9461706098332863
167,0.5592815002680378,0.295897676503537,16,0.7025006967802675,word2vec,0.9478661762384085,0.9479999999999998,0.949293760966278,0.9476905764118275
172,0.2527002842795097,0.1819666681393174,16,0.7025006967802675,word2vec,0.9443218260015185,0.9445,0.9456015022893892,0.9443715835707984
